# Font	Codepoint	Character	Name	SVG file	ID	Scale	X offset	Y offset	Zoom	Flags
devicons	U+E653		Angular		angular	1	0	0.1875	1	
devicons	U+E6AB		Appcelerator		appcelerator	1	0	0.1875	1	
devicons	U+E613		App Store		appstore	1	0	0.1875	1	
devicons	U+E67F		DotNet / .NET		asp	1	0	0.1875	1	
devicons	U+E664		Atom		atom	1	0	0.1875	1	T
devicons	U+E652		Backbone		backbone	1	0	0.1875	1	
devicons	U+E603		Bitbucket		bitbucket	1	0	0.1875	1	
devicons	U+E647		Bootstrap		bootstrap	0.9375	0	0.125	1	
devicons	U+E64D		Bower		bower	1	0	0.1875	1	S
devicons	U+E643		Chrome		chrome	1	0	0.1875	1	
devicons	U+E668		Clojure		clojure	1	0	0.1875	1	T
devicons	U+E661		Compass		compass	0.875	0	0.125	1	
devicons	U+E698		Dart		dart	0.9375	0	0.125	1	
devicons	U+E6AF		D		dlang	1	0	0.1875	1	
devicons	U+E61C		Dojo		dojo	1	0	0.25	1.2	T
devicons	U+E607		Dropbox		dropbox	1	0	0.1875	1	
devicons	U+E69E		Eclipse		eclipse	1	0	0.1875	1	
devicons	U+E6B1		Erlang		erlang	1	0	0.1875	1	
devicons	U+E68E		Ext JS		extjs	1	0	0.1875	1	
devicons	U+E645		Firefox		firefox	1	0	0.1875	1	
devicons	U+E6A7		FSharp		fsharp	1	0.0625	0.125	1	
devicons	U+E602		Git		git	0.9375	0	0.125	1	
devicons	U+E67B		Heroku		heroku	1	0	0.1875	1	
devicons	U+E60D		Jekyll		jekyll	1	0	0.1875	1	S
devicons	U+E650		jQuery		jquery	0.9375	0	0.125	1	
devicons	U+E654		jQuery UI		jqueryui	0.9375	0	0.125	1	
devicons	U+E63F		Laravel, Old		laravel-old	1	0	0.1875	1	T
devicons	U+E6B6		Materialize		materialize	1	0	0.1875	1.2	T
devicons	U+E620		Modernizr		modernizr	1	0	0.1875	1	
devicons	U+E68F		MooTools		mootools	1	0	0.1875	1	S
devicons	U+E618		Node		node	1	0	0.1875	1	
devicons	U+E669		Perl		perl	0.9375	0	0.125	1	
devicons	U+E6A1		Prolog		prolog	1	0	0.1875	1	
devicons	U+E63B		Rails		rails	1	0	0.1875	1	
devicons	U+E65F		Raphael		raphael	0.9375	0	0.1875	1	
devicons	U+E670		RequireJS		requirejs	1	0	0.1875	1	
devicons	U+E6A8		Rust		rust	1	0	0.1875	1	
devicons	U+E648		Safari		safari	1	0	0.1875	1	
devicons	U+E64B		Sass / SCSS		sass	1	0	0.1875	1	
devicons	U+E68C		Sencha Touch		sencha	1	0	0.1875	1	
devicons	U+E65E		Snap.svg		snapsvg	1	0	0.1875	1	
devicons	U+E655		Swift		swift	1	0.0625	0.1875	1	
devicons	U+E67E		Travis		travis	0.9375	0	0.125	1	
devicons	U+E672		TYPO3		typo3	1	0	0.1875	1	
devicons	U+E673		UI Kit		uikit	0.9375	0	0.125	1	
devicons	U+E621		Unity 3D		unity3d	1	0	0.1875	1	
devicons	U+E6C5		Vim		vim	1	0	0.1875	1	
devicons	U+E60C		Visual Studio		vs	0.875	0	0.125	1	
devicons	U+E60F		Windows		windows	0.875	0	0.125	1	
devicons	U+E67A		Yeoman		yeoman	1	0	0.1875	1	
mf	U+F102		Apache		apache	0.9375	0	0.1875	1	
mf	U+0041	A	Arch Linux		archlinux	0.9375	0	0.0625	1	
mf	U+F106		C		c	0.8125	0	0.0625	1	
mf	U+F10B		C++		cpp	0.875	0	0.0625	1	
mf	U+F10C		C#		csharp	0.875	0	0.0625	1	
mf	U+F111		Debian		debian	0.875	0	0.0625	1	
mf	U+F113		Elixir		elixir	0.875	0	0.0625	1	
mf	U+F119		GNOME		gnome	0.875	0	0.0625	1	
mf	U+F121		Haskell		haskell	1	0	0.125	1	
mf	U+F126		Java		java	1	0	0.125	1	
mf	U+F129		JavaScript		js	0.875	0	0.0625	1	
mf	U+F136		mSQL		msql	0.9375	0	0.125	1	S
mf	U+F13E		Objective-C		objc	1	0	0.125	1	
mf	U+F141		Mac OS/X		osx	0.875	0	0.0625	1	
mf	U+F14A		PL/pgSQL		pgsql	1	0	0.125	1	
mf	U+F14C		Python		python	0.875	0	0.0625	1	
mf	U+F14E		Red Hat		red-hat	0.875	0	0.125	1	
mf	U+F154		Scala		scala	0.875	0	0.0625	1	
mf	U+F10E		SQL		sql	0.875	0	0.0625	1	
mf	U+F15C		SVG		svg	0.875	0	0.0625	1	
mf	U+F16E		X11		x11	0.8125	0	0.0625	1	
octicons	U+F094		Binary		binary	1	0	0.0625	1	
octicons	U+F007		Book		book	1	0	0.0625	1	
octicons	U+F05F		Code		code	1	0	0.0625	1	
octicons	U+F096		Database		database	1	0	0.0625	1	
octicons	U+F02F		Gear		gear	1	0	0.0625	1	
octicons	U+F01F		Git, commit		git-commit	1	0	0.0625	1	
octicons	U+F023		Git, merge		git-merge	1	0	0.0625	1	
octicons	U+F00A		GitHub		github	1	0	0.0625	1	
octicons	U+F043		Graph		graph	1	0	0.0625	1	
octicons	U+F012		Image		image	1	0	0.0625	1	
octicons	U+F049		Key		key	1	0	0.0625	1	
octicons	U+F0B0		Link		link	1	0	0.0625	1	
octicons	U+F0C9		Markdown		markdown	1	0	0.0625	1	
octicons	U+F0C4		Package		package	1	0	0.0625	1	
octicons	U+F047		Ruby		ruby	1	0	0.0625	1	
octicons	U+F08C		Secret		secret	1	0	0.0625	1	
octicons	U+F011		Text		text	1	0	0.0625	1	
octicons	U+F013		Zip		zip	1	0	0.0625	1	
octicons	U+F076		Checklist		checklist	1.0625	0.0625	0	1	
octicons	U+F0B2		Squirrel		squirrel	0.9375	0	0.0625	1	
fa	U+F13D		Anchor		anchor	1	0	0.0625	1	
fa	U+F17B		Android		android	1	0	0.0625	1	
fa	U+F1FA		At Sign		at	0.9375	0	0.0625	1	
fa	U+F028		Audio		audio	0.9375	0	0.0625	1	
fa	U+F1DA		Backup		backup	0.8125	0	0.0625	1	
fa	U+F15A		Bitcoin		bitcoin	1	0	0.0625	1	
fa	U+F02D		Book, Alt		book-alt	1	0	0.125	1	
fa	U+F0A1		Bullhorn		bullhorn	1	0	0.125	1	
fa	U+F1EC		Calculator		calc	0.875	0	0	1	
fa	U+F0F4		Coffee		coffee	0.875	0	0.0625	1	
fa	U+F13C		CSS 3		css3	0.8125	0	0	1	
fa	U+F111		Circle		circle	1	0	0.0625	1	
fa	U+F019		Download		download	1	0	0.125	1	
fa	U+F0AC		Earth		earth	0.9375	0	0	1	
fa	U+F0B0		Filter		filter	1	0	0	1	
fa	U+F085		Gears		gears	0.9375	0	0	1	
fa	U+F13B		HTML5		html5	0.9375	0	0.0625	1	
fa	U+F023		Lock		lock	1.0625	0	0.125	1	
fa	U+F10B		Mobile		mobile	1.25	0	0.125	1	
fa	U+F186		Moon		moon	1	0	0.0625	1	
fa	U+F001		Musical Note		music	0.9375	0	0	1	
fa	U+F02F		Printer		print	0.9375	0	0.125	1	
fa	U+F059		Question		question	1	0	0.0625	1	
fa	U+F1B8		Recycle Sign		recycle	0.9375	0	0.125	1	
fa	U+F143		RSS		rss	1	0	0.125	1	
fa	U+F24E		Scales		scales	0.9375	0	0.0625	1	
fa	U+F0EB		Smarty		smarty	0.9375	0	0	1	
fa	U+F279		Source Map		sourcemap	0.875	0	0	1	
fa	U+F185		Sun		sun	0.875	0	0	1	T
fa	U+F03A		Table of Contents		toc	0.9375	0	0.125	1	
fa	U+F1D7		WeChat		wechat	1	0	0.125	1	
fi	U+A5EA	ꗪ	1C	1C.svg	_1c	1	0	0.1875	1	
fi	U+EA28		1C, Alt	1C-Alt.svg	_1c-alt	1	0	0	1	
